Player;Role;Team;Opponent Team;Opponent Player;Date;Week;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Frog;TOP;DRX;FOX;Clear;20.06.2024;2;2;v14.12;Summer_Season_24;2;2;3;4;Red;00:39:52;Maokai;Senna;Skarner;Taliyah;Skarner;KSante;Win;26;9;4;2;18;3;4;16;4.8;241;0;0;6;14263;358;0.183;45;18;9;12;12;1.13;0.45;0.3;0.23;0.099;24101;13985;9466;650;605;0.21;0.48;0.731;0;0;0;0;0;-91;-17;-564;0;0;3019;3019;2112;0;53730;0;49;832;25896;125;14;33;50;0
Sponge;JUNGLE;DRX;FOX;Raptor;20.06.2024;2;2;v14.12;Summer_Season_24;2;2;3;4;Red;00:39:52;Rumble;Ashe;Tristana;Vi;Viego;Vi;Win;26;9;4;2;17;4;4;13;4.3;188;174;0;4.7;13278;333;0.17;54;18;10;19;15;1.35;0.45;0.48;0.25;0.119;10506;8216;1751;539;264;0.092;0.43;0.654;0;0;0;0;0;212;-10;-607;-1;0;925;925;24789;0;31369;54;20;279;46658;135;19;40;0;200
Kyeahoo;MID;DRX;FOX;Clozer;20.06.2024;2;2;v14.12;Summer_Season_24;2;2;3;4;Red;00:39:52;Kalista;Renekton;Kaisa;KSante;Tristana;Taliyah;Win;26;9;4;2;18;6;1;13;19;420;42;0;10.5;20214;507;0.259;100;22;16;11;9;2.51;0.55;0.28;0.4;0.22;28513;25588;1641;1284;715;0.248;0.48;0.731;0;2;0;0;0;-165;1;-11;0;0;12917;12917;8903;0;9980;0;8;242;19122;48;13;37;300;150
Teddy;ADCARRY;DRX;FOX;Hena;20.06.2024;2;2;v14.12;Summer_Season_24;2;2;3;4;Red;00:39:52;Rakan;Nidalee;Leona;Zeri;Kaisa;Zeri;Win;26;9;4;2;18;12;0;10;Perfect_KDA;379;55;0;9.5;20095;504;0.258;86;18;21;4;4;2.16;0.45;0.1;0.53;0.189;44885;17289;26249;1347;1126;0.391;0.55;0.846;1;3;1;0;0;-572;-1;-86;0;0;6524;6524;7236;0;14097;0;6;181;15515;0;6;25;300;0
Pleata;SUPPORT;DRX;FOX;Execute;20.06.2024;2;2;v14.12;Summer_Season_24;2;2;3;4;Red;00:39:52;Varus;Xin_Zhao;Viego;Alistar;Leona;Alistar;Win;26;9;4;2;14;1;5;16;3.4;50;0;0;1.3;10080;253;0.129;169;81;24;25;24;4.24;2.03;0.63;0.6;0.372;6813;791;4595;1427;171;0.059;0.43;0.654;0;0;0;0;0;-4;12;241;0;0;0;0;1144;257;22269;0;28;99;22323;110;29;46;0;0
Morgan;TOP;BRO;HLE;Doran;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Blue;00:25:54;Maokai;Senna;Skarner;Corki;Skarner;Aatrox;Loss;6;3;0;0;13;0;4;2;0.5;172;0;0;6.6;7765;300;0.177;23;11;2;7;6;0.89;0.42;0.27;0.08;0.121;9879;7580;2299;0;381;0.182;0.08;0.333;0;0;0;0;0;81;3;412;0;0;468;468;614;0;24555;0;17;404;18549;154;10;24;0;0
YoungJae;JUNGLE;BRO;HLE;Peanut;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Blue;00:25:54;Ashe;Rumble;Taliyah;Sejuani;Taliyah;Sejuani;Loss;6;3;0;0;13;3;2;2;2.5;187;160;0;7.2;9212;356;0.21;54;29;10;9;8;2.08;1.12;0.35;0.39;0.284;14117;517;13051;549;545;0.26;0.19;0.833;0;0;0;0;0;548;9;-134;0;0;0;0;6625;0;6207;0;20;657;13539;26;10;26;0;100
Karis;MID;BRO;HLE;Zeka;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Blue;00:25:54;Vi;Tristana;Yone;Kaisa;Yone;Corki;Loss;6;3;0;0;14;2;2;1;1.5;236;4;0;9.1;10725;414;0.245;22;7;4;4;4;0.85;0.27;0.15;0.15;0.116;9808;6325;1892;1591;379;0.18;0.12;0.5;0;0;0;0;0;-842;-6;-36;0;0;6317;6317;4921;0;14677;0;6;121;17738;81;5;18;50;50
Envyy;ADCARRY;BRO;HLE;Viper;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Blue;00:25:54;Alistar;Kalista;Zeri;Aatrox;Zeri;Kaisa;Loss;6;3;0;0;14;1;2;3;2;245;6;0;9.5;10629;410;0.243;23;7;7;3;2;0.89;0.27;0.12;0.27;0.121;15119;10982;4137;0;584;0.278;0.15;0.667;0;0;0;0;0;-96;-24;2;0;0;2975;2975;4561;0;7926;0;3;152;15624;26;4;18;0;0
Pollu;SUPPORT;BRO;HLE;Delight;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Blue;00:25:54;Twisted_Fate;Leona;Nautilus;Rell;Nautilus;Rell;Loss;6;3;0;0;9;0;5;4;0.8;16;0;0;0.6;5464;211;0.125;68;43;2;14;13;2.63;1.66;0.54;0.08;0.358;5420;1199;3321;900;209;0.1;0.15;0.667;0;0;0;0;0;-603;-18;-1698;-2;0;0;0;512;140;15748;0;35;129;15973;94;16;30;0;0
Doran;TOP;HLE;BRO;Morgan;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Red;00:25:54;Senna;Maokai;Corki;Skarner;Aatrox;Skarner;Win;15;8;3;1;15;0;4;4;1;215;12;0;8.3;9050;349;0.171;18;8;5;4;3;0.69;0.31;0.15;0.19;0.078;7689;6294;1339;56;297;0.119;0.15;0.267;0;0;0;0;0;-81;-3;-412;0;0;4038;4038;6181;0;13910;0;15;126;20480;102;7;22;0;0
Peanut;JUNGLE;HLE;BRO;YoungJae;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Red;00:25:54;Rumble;Ashe;Sejuani;Taliyah;Sejuani;Taliyah;Win;15;8;3;1;14;1;1;13;14;178;160;0;6.9;9559;369;0.181;46;9;14;7;7;1.78;0.35;0.27;0.54;0.2;7076;3683;3201;192;273;0.11;0.54;0.933;0;0;0;0;0;-548;-9;134;0;0;709;709;18210;169;35101;0;17;311;34374;35;8;18;0;0
Zeka;MID;HLE;BRO;Karis;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Red;00:25:54;Tristana;Vi;Kaisa;Yone;Corki;Yone;Win;15;8;3;1;16;5;0;8;Perfect_KDA;262;7;0;10.1;13109;506;0.248;43;13;8;5;4;1.66;0.5;0.19;0.31;0.187;22733;14279;6223;2231;878;0.352;0.5;0.867;0;0;1;0;0;842;6;36;0;0;8213;8213;5145;0;6377;0;2;63;11725;0;6;27;50;0
Viper;ADCARRY;HLE;BRO;Envyy;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Red;00:25:54;Kalista;Alistar;Aatrox;Zeri;Kaisa;Zeri;Win;15;8;3;1;15;8;1;5;13;281;8;0;10.8;13614;526;0.258;31;10;9;5;3;1.2;0.39;0.19;0.35;0.135;22170;8225;13531;414;856;0.343;0.5;0.867;0;2;0;0;0;96;24;-2;0;0;8515;8515;3891;0;5032;0;5;91;8764;26;6;25;100;50
Delight;SUPPORT;HLE;BRO;Pollu;21.06.2024;2;3;v14.12;Summer_Season_24;1;2;3;1;Red;00:25:54;Leona;Twisted_Fate;Rell;Nautilus;Rell;Nautilus;Win;15;8;3;1;12;1;0;14;Perfect_KDA;44;0;0;1.7;7528;291;0.142;92;39;18;10;10;3.55;1.51;0.39;0.69;0.4;4946;958;3218;770;191;0.077;0.58;1;0;0;0;0;0;603;18;1698;2;0;485;485;1943;215;15080;0;24;81;12946;0;12;24;0;0
Morgan;TOP;BRO;HLE;Doran;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Blue;00:31:40;Maokai;Senna;Skarner;Sejuani;Skarner;Twisted_Fate;Loss;6;1;2;0;15;1;7;1;0.3;209;1;0;6.6;9407;297;0.187;35;12;10;9;7;1.11;0.38;0.28;0.32;0.143;12751;7917;4834;0;403;0.237;0.06;0.333;1;0;0;0;0;-1818;-10;-186;0;0;0;0;281;0;38722;0;29;640;25796;190;10;27;50;0
YoungJae;JUNGLE;BRO;HLE;Peanut;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Blue;00:31:40;Ashe;Rumble;Taliyah;Corki;Taliyah;Sejuani;Loss;6;1;2;0;14;0;2;4;2;211;172;0;6.7;9760;308;0.194;61;29;12;11;11;1.93;0.92;0.35;0.38;0.25;12493;377;11609;507;395;0.232;0.13;0.667;0;0;0;0;0;-462;0;-765;-1;0;0;0;7902;0;8731;0;18;796;16405;73;12;27;0;0
Karis;MID;BRO;HLE;Zeka;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Blue;00:31:40;Vi;Tristana;Yone;Zeri;Yone;Corki;Loss;6;1;2;0;17;1;3;0;0.3;301;0;0;9.5;12202;385;0.243;23;4;8;4;2;0.73;0.13;0.13;0.25;0.094;7991;5043;1652;1296;252;0.149;0.03;0.167;0;0;0;0;0;-2260;-16;-309;0;0;3357;3357;4775;0;17407;0;7;223;16980;33;6;26;300;0
Envyy;ADCARRY;BRO;HLE;Viper;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Blue;00:31:40;Alistar;Leona;Kaisa;Twisted_Fate;Kaisa;Zeri;Loss;6;1;2;0;15;4;1;1;5;307;4;0;9.7;12496;395;0.248;30;11;11;4;3;0.95;0.35;0.13;0.35;0.123;17564;8045;9429;90;555;0.326;0.16;0.833;0;0;0;0;0;-643;-6;-207;0;0;0;0;5760;0;10572;0;0;43;17520;50;5;23;400;0
Pollu;SUPPORT;BRO;HLE;Delight;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Blue;00:31:40;Rakan;Nautilus;Rell;Poppy;Rell;Poppy;Loss;6;1;2;0;10;0;6;4;0.7;22;0;0;0.7;6433;203;0.128;95;60;9;18;16;3;1.89;0.57;0.28;0.389;3004;558;1982;464;95;0.056;0.13;0.667;0;0;0;0;0;-367;-19;-1270;-1;0;0;0;670;88;18155;0;24;58;20412;119;20;33;0;0
Doran;TOP;HLE;BRO;Morgan;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Red;00:31:40;Senna;Maokai;Sejuani;Skarner;Twisted_Fate;Skarner;Win;19;11;3;2;17;7;2;3;5;254;24;0;8;15206;480;0.223;46;17;8;10;9;1.45;0.54;0.32;0.25;0.164;15896;8458;7094;344;502;0.208;0.32;0.526;2;1;0;0;0;1818;10;186;0;0;6870;6870;6568;0;10672;0;29;348;17528;79;11;29;0;350
Peanut;JUNGLE;HLE;BRO;YoungJae;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Red;00:31:40;Rumble;Ashe;Corki;Taliyah;Sejuani;Taliyah;Win;19;11;3;2;17;1;0;13;Perfect_KDA;223;200;0;7;12412;392;0.182;43;12;12;10;10;1.36;0.38;0.32;0.38;0.153;9538;4595;4540;403;301;0.125;0.44;0.737;0;0;0;0;0;462;0;765;1;0;1799;1799;18060;206;51344;0;19;490;36128;0;11;24;0;0
Zeka;MID;HLE;BRO;Karis;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Red;00:31:40;Tristana;Vi;Zeri;Yone;Corki;Yone;Win;19;11;3;2;18;6;0;5;Perfect_KDA;303;27;0;9.6;16455;520;0.241;25;14;7;3;3;0.79;0.44;0.09;0.22;0.089;22214;15701;4708;1805;701;0.291;0.35;0.579;1;1;0;0;0;2260;16;309;0;0;8158;8158;6674;0;8969;0;1;74;13746;0;4;24;0;0
Viper;ADCARRY;HLE;BRO;Envyy;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Red;00:31:40;Leona;Alistar;Twisted_Fate;Kaisa;Zeri;Kaisa;Win;19;11;3;2;16;4;2;7;5.5;329;46;0;10.4;15171;479;0.222;55;13;23;3;3;1.74;0.41;0.09;0.73;0.196;20162;10564;8775;823;637;0.264;0.35;0.579;0;0;0;0;0;643;6;207;0;0;7546;7546;5148;0;11768;0;8;260;13288;58;4;27;0;400
Delight;SUPPORT;HLE;BRO;Pollu;21.06.2024;2;3;v14.12;Summer_Season_24;2;2;3;2;Red;00:31:40;Nautilus;Rakan;Poppy;Rell;Poppy;Rell;Win;19;11;3;2;13;1;2;7;4;50;0;0;1.6;9053;286;0.133;112;50;23;14;13;3.54;1.58;0.44;0.73;0.399;8482;6703;1063;716;268;0.111;0.25;0.421;0;0;0;0;0;367;19;1270;1;0;1556;1556;1045;202;17136;35;39;216;18068;38;17;30;0;0
Zeus;TOP;T1;KDF;DuDu;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Blue;00:36:18;KSante;Senna;Sejuani;Tristana;Gnar;Aatrox;Loss;9;6;1;0;18;5;2;0;2.5;346;15;0;9.5;16003;441;0.239;31;9;8;2;2;0.85;0.25;0.06;0.22;0.103;29000;22204;5059;1737;799;0.287;0.14;0.556;0;0;0;0;0;754;26;428;0;0;4115;4115;10769;0;41836;0;31;626;29496;93;4;27;250;450
Oner;JUNGLE;T1;KDF;Cuzz;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Blue;00:36:18;Skarner;Rumble;Corki;Maokai;Sejuani;Maokai;Loss;9;6;1;0;15;0;3;5;1.7;199;173;0;5.5;11085;305;0.165;59;16;15;16;15;1.63;0.44;0.44;0.41;0.195;11043;7043;3749;251;304;0.109;0.14;0.556;0;0;0;0;0;272;11;799;1;0;3377;3377;15845;217;51876;0;25;351;45281;79;17;35;0;0
Faker;MID;T1;KDF;Bulldog;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Blue;00:36:18;Jax;Ashe;Gnar;Aatrox;Corki;Tristana;Loss;9;6;1;0;18;1;1;2;3;359;24;0;9.9;14855;409;0.221;38;18;6;5;5;1.05;0.5;0.14;0.17;0.126;22521;13366;6324;2831;620;0.223;0.08;0.333;0;0;0;0;0;503;10;-336;-1;0;4486;4486;6565;0;14369;0;0;34;21194;41;6;27;0;150
Gumayusi;ADCARRY;T1;KDF;Leaper;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Blue;00:36:18;Kaisa;Kalista;Ezreal;Zeri;Ezreal;Zeri;Loss;9;6;1;0;18;1;1;3;4;406;24;0;11.2;16089;443;0.24;36;15;12;5;5;0.99;0.41;0.14;0.33;0.119;29394;18170;10866;358;810;0.29;0.11;0.444;0;0;0;0;0;-206;2;-198;0;0;5222;5222;7001;0;16585;0;0;412;14875;0;6;31;0;300
Keria;SUPPORT;T1;KDF;Andil;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Blue;00:36:18;Alistar;Lucian;Leona;Rell;Leona;Rell;Loss;9;6;1;0;12;2;4;6;2;35;0;0;1;9035;249;0.135;138;71;13;23;21;3.8;1.96;0.63;0.36;0.457;9231;1436;5434;2361;254;0.091;0.22;0.889;1;0;0;0;0;730;2;316;1;0;1674;1674;821;230;27413;0;43;124;25777;144;25;40;0;0
DuDu;TOP;KDF;T1;Zeus;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Red;00:36:18;Senna;KSante;Tristana;Sejuani;Aatrox;Gnar;Win;11;11;4;2;18;6;1;1;7;323;18;0;8.9;16623;458;0.232;30;12;1;8;6;0.83;0.33;0.22;0.03;0.102;24658;18205;5879;574;679;0.252;0.19;0.636;1;2;0;0;0;-754;-26;-428;0;0;3614;3614;19632;0;49573;0;20;349;38118;38;11;28;700;0
Cuzz;JUNGLE;KDF;T1;Oner;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Red;00:36:18;Rumble;Skarner;Maokai;Corki;Maokai;Sejuani;Win;11;11;4;2;17;0;2;9;4.5;220;185;0;6.1;11834;326;0.165;53;13;13;10;10;1.46;0.36;0.28;0.36;0.18;21695;796;20163;736;598;0.222;0.25;0.818;0;0;0;0;0;-272;-11;-799;-1;0;244;244;24962;0;30847;0;51;664;42123;55;12;31;0;0
Bulldog;MID;KDF;T1;Faker;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Red;00:36:18;Ashe;Jax;Aatrox;Gnar;Tristana;Corki;Win;11;11;4;2;18;3;2;4;3.5;336;16;0;9.3;16151;445;0.226;59;19;17;9;7;1.63;0.52;0.25;0.47;0.2;27990;24324;2596;1070;771;0.286;0.19;0.636;0;0;0;0;0;-503;-10;336;1;0;13747;13747;12657;0;18835;0;12;185;30003;35;11;33;200;250
Leaper;ADCARRY;KDF;T1;Gumayusi;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Red;00:36:18;Kalista;Kaisa;Zeri;Ezreal;Zeri;Ezreal;Win;11;11;4;2;18;2;0;5;Perfect_KDA;424;42;0;11.7;18191;501;0.254;43;11;13;3;3;1.18;0.3;0.08;0.36;0.146;19670;13743;5389;538;542;0.201;0.19;0.636;0;0;0;0;0;206;-2;198;0;0;14031;14031;11322;0;19923;0;4;182;18514;0;5;28;0;0
Andil;SUPPORT;KDF;T1;Keria;21.06.2024;2;3;v14.12;Summer_Season_24;1;3;3;3;Red;00:36:18;Lucian;Alistar;Rell;Leona;Rell;Leona;Win;11;11;4;2;14;0;4;9;2.3;26;0;0;0.7;8722;240;0.122;110;66;10;15;15;3.03;1.82;0.41;0.28;0.373;3806;362;3002;442;105;0.039;0.25;0.818;0;0;0;0;0;-730;-2;-316;-1;0;110;110;796;200;21276;0;30;65;22921;103;18;32;0;0
Zeus;TOP;T1;KDF;DuDu;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Blue;00:35:36;Zeri;Senna;Skarner;KSante;Skarner;KSante;Win;20;10;4;1;18;2;3;11;4.3;251;6;0;7.1;13522;380;0.191;35;14;6;10;9;0.98;0.39;0.28;0.17;0.108;22164;13453;8607;104;623;0.198;0.37;0.65;0;0;0;0;0;-792;-18;-922;-1;0;4467;4467;2819;0;47700;0;46;724;21730;89;13;35;0;0
Oner;JUNGLE;T1;KDF;Cuzz;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Blue;00:35:36;Sejuani;Ashe;Kalista;Corki;Viego;Maokai;Win;20;10;4;1;18;9;2;7;8;279;256;0;7.8;15759;443;0.223;58;10;14;12;8;1.63;0.28;0.34;0.39;0.179;25402;21028;3675;699;714;0.227;0.45;0.8;0;2;0;0;0;648;17;212;0;0;3072;3072;33221;0;31278;85;16;242;42023;61;9;31;200;200
Faker;MID;T1;KDF;Bulldog;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Blue;00:35:36;Rumble;Tristana;Neeko;Maokai;Ahri;Corki;Win;20;10;4;1;18;6;1;9;15;342;4;0;9.6;16191;455;0.229;34;13;7;3;3;0.96;0.37;0.08;0.2;0.105;29761;1955;21856;5950;836;0.266;0.42;0.75;1;1;0;0;0;63;-5;-353;0;0;8433;8433;8725;0;10482;0;17;112;19805;55;6;24;50;200
Gumayusi;ADCARRY;T1;KDF;Leaper;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Blue;00:35:36;Ezreal;Yone;Ahri;Taliyah;Kalista;Taliyah;Win;20;10;4;1;18;2;2;13;7.5;347;4;0;9.7;15299;430;0.216;68;31;14;7;7;1.91;0.87;0.2;0.39;0.21;23140;19746;2306;1088;650;0.207;0.42;0.75;0;0;0;0;0;467;25;333;1;0;7141;7141;2460;0;7063;0;14;538;12741;35;8;23;0;300
Keria;SUPPORT;T1;KDF;Andil;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Blue;00:35:36;Alistar;Nidalee;Viego;Nautilus;Neeko;Nautilus;Win;20;10;4;1;13;1;1;14;15;32;0;0;0.9;9910;278;0.14;129;63;14;17;17;3.62;1.77;0.48;0.39;0.398;11424;814;10506;104;321;0.102;0.42;0.75;0;0;0;0;0;624;-6;243;1;0;3984;3984;2421;741;4445;0;36;106;10405;21;20;36;350;0
DuDu;TOP;KDF;T1;Zeus;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Red;00:35:36;Senna;Zeri;KSante;Skarner;KSante;Skarner;Loss;9;2;1;0;17;6;3;2;2.7;292;2;0;8.2;14787;415;0.248;35;12;7;7;7;0.98;0.34;0.2;0.2;0.134;19588;14856;2460;2272;550;0.268;0.22;0.889;0;0;1;0;0;792;18;922;1;0;4731;4731;8227;0;71335;522;41;3096;39735;102;9;26;500;350
Cuzz;JUNGLE;KDF;T1;Oner;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Red;00:35:36;Ashe;Sejuani;Corki;Kalista;Maokai;Viego;Loss;9;2;1;0;15;1;3;7;2.7;207;183;0;5.8;10714;301;0.18;57;12;16;11;8;1.6;0.34;0.31;0.45;0.218;15887;733;14477;677;446;0.217;0.22;0.889;0;0;0;0;0;-648;-17;-212;0;0;0;0;22814;0;34607;0;37;615;48020;144;13;31;200;0
Bulldog;MID;KDF;T1;Faker;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Red;00:35:36;Tristana;Rumble;Maokai;Neeko;Corki;Ahri;Loss;9;2;1;0;18;1;5;3;0.8;377;8;0;10.6;13998;393;0.235;37;14;12;5;4;1.04;0.39;0.14;0.34;0.141;19045;12704;4200;2141;535;0.26;0.11;0.444;0;0;0;0;0;-63;5;353;0;0;1132;1132;4917;0;14296;0;4;70;20182;154;6;23;0;200
Leaper;ADCARRY;KDF;T1;Gumayusi;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Red;00:35:36;Yone;Ezreal;Taliyah;Ahri;Taliyah;Kalista;Loss;9;2;1;0;17;1;4;5;1.5;339;14;0;9.5;13049;367;0.219;23;8;9;3;3;0.65;0.22;0.08;0.25;0.088;14124;198;13842;84;397;0.193;0.17;0.667;0;0;0;0;0;-467;-25;-333;-1;0;593;593;2670;0;11470;0;27;895;17852;162;7;29;0;50
Andil;SUPPORT;KDF;T1;Keria;21.06.2024;2;3;v14.12;Summer_Season_24;2;3;3;4;Red;00:35:36;Nidalee;Alistar;Nautilus;Viego;Nautilus;Neeko;Loss;9;2;1;0;12;0;5;2;0.4;35;0;0;1;6977;196;0.117;110;55;14;12;10;3.09;1.54;0.34;0.39;0.42;4484;673;2659;1152;126;0.061;0.06;0.222;0;0;0;0;0;-624;6;-243;-1;0;0;0;59;0;14384;0;28;119;18466;140;14;30;0;0
DuDu;TOP;KDF;T1;Zeus;21.06.2024;2;3;v14.12;Summer_Season_24;3;3;3;5;Blue;00:28:37;Senna;Maokai;Rumble;Sejuani;Rumble;Skarner;Loss;6;2;1;0;15;3;3;2;1.7;251;0;0;8.8;11458;400;0.241;27;9;3;4;3;0.94;0.31;0.14;0.1;0.134;25884;906;24978;0;905;0.382;0.17;0.833;0;1;0;0;0;80;16;-637;0;0;0;0;4866;0;25600;0;14;314;22001;80;7;24;700;0
Cuzz;JUNGLE;KDF;T1;Oner;21.06.2024;2;3;v14.12;Summer_Season_24;3;3;3;5;Blue;00:28:37;Ashe;KSante;Vi;Corki;Vi;Sejuani;Loss;6;2;1;0;13;1;5;4;1;175;155;0;6.1;9272;324;0.195;42;10;13;8;8;1.47;0.35;0.28;0.45;0.208;8598;8398;0;200;300;0.127;0.17;0.833;0;0;0;0;0;167;-13;-574;-1;0;1710;1710;12474;0;31263;0;17;360;28818;158;9;27;0;0
Bulldog;MID;KDF;T1;Faker;21.06.2024;2;3;v14.12;Summer_Season_24;3;3;3;5;Blue;00:28:37;Kalista;Tristana;Kaisa;Skarner;Yone;Corki;Loss;6;2;1;0;15;0;3;2;0.7;238;4;0;8.3;9678;338;0.203;28;8;5;5;4;0.98;0.28;0.17;0.17;0.139;11730;7821;2122;1787;410;0.173;0.07;0.333;0;0;0;0;0;-1025;-18;-212;0;0;3207;3207;6851;0;21494;0;10;146;23678;90;6;27;0;0
Leaper;ADCARRY;KDF;T1;Gumayusi;21.06.2024;2;3;v14.12;Summer_Season_24;3;3;3;5;Blue;00:28:37;Lucian;Taliyah;Yone;Zeri;Kaisa;Zeri;Loss;6;2;1;0;14;2;6;3;0.8;262;8;0;9.2;11442;400;0.24;21;8;6;2;1;0.73;0.28;0.07;0.21;0.104;14995;9403;5203;389;524;0.221;0.17;0.833;0;0;0;0;0;-831;-5;-156;0;0;1404;1404;2534;0;10418;0;2;87;15973;176;3;23;650;50
Andil;SUPPORT;KDF;T1;Keria;21.06.2024;2;3;v14.12;Summer_Season_24;3;3;3;5;Blue;00:28:37;Renata_Glasc;Nautilus;Leona;Alistar;Leona;Alistar;Loss;6;2;1;0;11;0;5;4;0.8;34;0;0;1.2;5767;202;0.121;84;41;11;10;10;2.94;1.43;0.35;0.38;0.416;6570;765;4793;1012;230;0.097;0.14;0.667;0;0;0;0;0;-377;-2;-732;-1;0;0;0;860;152;18160;0;27;53;17872;91;12;24;0;0
Zeus;TOP;T1;KDF;DuDu;21.06.2024;2;3;v14.12;Summer_Season_24;3;3;3;5;Red;00:28:37;Maokai;Senna;Sejuani;Rumble;Skarner;Rumble;Win;22;9;3;1;16;4;1;12;16;223;4;0;7.8;11832;413;0.2;35;11;5;6;6;1.22;0.38;0.21;0.17;0.148;20334;12297;7765;272;711;0.241;0.56;0.727;0;0;0;0;0;-80;-16;637;0;0;2809;2809;5135;0;40486;0;52;557;26569;45;9;28;0;150
Oner;JUNGLE;T1;KDF;Cuzz;21.06.2024;2;3;v14.12;Summer_Season_24;3;3;3;5;Red;00:28:37;KSante;Ashe;Corki;Vi;Sejuani;Vi;Win;22;9;3;1;15;4;1;12;16;196;182;0;6.8;11428;399;0.193;46;14;5;12;12;1.61;0.49;0.42;0.17;0.195;13055;8377;4204;474;456;0.155;0.56;0.727;0;0;0;0;0;-167;13;574;1;0;2915;2915;17232;213;40651;0;23;427;33973;21;13;27;0;0
Faker;MID;T1;KDF;Bulldog;21.06.2024;2;3;v14.12;Summer_Season_24;3;3;3;5;Red;00:28:37;Tristana;Kalista;Skarner;Kaisa;Corki;Yone;Win;22;9;3;1;16;8;2;7;7.5;253;0;0;8.8;13398;468;0.227;22;12;2;4;3;0.77;0.42;0.14;0.07;0.093;27646;18845;6346;2455;966;0.327;0.52;0.682;0;2;0;0;0;1025;18;212;0;0;7525;7525;4932;0;10775;0;3;54;15925;100;5;24;50;550
Gumayusi;ADCARRY;T1;KDF;Leaper;21.06.2024;2;3;v14.12;Summer_Season_24;3;3;3;5;Red;00:28:37;Taliyah;Lucian;Zeri;Yone;Zeri;Kaisa;Win;22;9;3;1;16;6;1;11;17;305;40;0;10.7;14424;504;0.244;38;13;9;5;5;1.33;0.45;0.17;0.31;0.161;18476;10241;8115;120;646;0.219;0.59;0.773;0;1;0;0;0;831;5;156;0;0;11183;11183;5360;0;6808;0;3;150;12289;49;6;24;0;650
